               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0813,            0.014883,            0.024053,             0.20592,             0.55509,             0.41076,             0.18901,             0.07271,            0.010322,            0.015843,            0.009307,            0.009307,            0.009307
                  37,            0.075469,            0.015199,            0.025085,              0.1838,             0.67917,             0.39751,             0.13951,            0.063997,            0.010105,            0.014773,           0.0092872,           0.0092872,           0.0092872
                  38,            0.073335,            0.015823,            0.023031,             0.38509,              0.7125,             0.54636,             0.19289,            0.061875,           0.0094841,            0.013699,           0.0092674,           0.0092674,           0.0092674
                  39,            0.077263,            0.014427,            0.021493,             0.80932,             0.63102,              0.7868,             0.22256,            0.049175,            0.008873,            0.013132,           0.0092476,           0.0092476,           0.0092476
                  40,             0.05851,            0.016299,            0.022492,             0.80932,             0.63102,              0.7868,             0.22256,            0.049175,            0.008873,            0.013132,           0.0092278,           0.0092278,           0.0092278
                  41,            0.057037,             0.01749,            0.020306,               0.875,             0.72894,             0.85022,             0.37954,             0.04573,           0.0086953,            0.012325,            0.009208,            0.009208,            0.009208
                  42,             0.05987,            0.015845,            0.021593,              0.7808,             0.62322,             0.75022,             0.26185,            0.056511,            0.008262,            0.010509,           0.0091882,           0.0091882,           0.0091882
                  43,            0.068891,            0.015262,            0.019333,             0.70774,                 0.7,             0.77883,             0.27034,            0.050308,           0.0084809,           0.0099974,           0.0091684,           0.0091684,           0.0091684
                  44,            0.059467,             0.01724,            0.020347,             0.70774,                 0.7,             0.77883,             0.27034,            0.050308,           0.0084809,           0.0099974,           0.0091486,           0.0091486,           0.0091486
                  45,             0.05143,            0.016465,            0.017657,             0.84003,             0.85148,             0.89567,             0.37288,            0.046081,           0.0085879,           0.0093386,           0.0091288,           0.0091288,           0.0091288
                  46,            0.056029,            0.016421,            0.018171,             0.76886,             0.78333,             0.81468,              0.3257,            0.050405,           0.0086233,            0.011052,            0.009109,            0.009109,            0.009109
                  47,            0.063846,            0.015938,            0.018046,             0.73648,              0.8875,             0.83288,               0.304,            0.048659,           0.0093526,           0.0087036,           0.0090892,           0.0090892,           0.0090892
                  48,            0.065504,            0.015225,               0.016,             0.73648,              0.8875,             0.83288,               0.304,            0.048659,           0.0093526,           0.0087036,           0.0090694,           0.0090694,           0.0090694
                  49,            0.060361,            0.015423,             0.01478,             0.84765,              0.8875,             0.92862,             0.40116,            0.045916,           0.0092858,           0.0089058,           0.0090496,           0.0090496,           0.0090496
                  50,            0.061525,            0.014559,            0.015956,             0.51889,              0.7625,             0.56059,             0.18814,            0.058837,           0.0096349,           0.0081392,           0.0090298,           0.0090298,           0.0090298
                  51,            0.071263,             0.01345,             0.01466,             0.46755,             0.64287,             0.60902,             0.20419,            0.053433,           0.0086828,           0.0095715,             0.00901,             0.00901,             0.00901
                  52,            0.062936,            0.014422,            0.014593,             0.46755,             0.64287,             0.60902,             0.20419,            0.053433,           0.0086828,           0.0095715,           0.0089902,           0.0089902,           0.0089902
                  53,            0.057746,            0.013511,            0.016218,             0.86962,             0.78922,             0.88185,             0.40001,            0.046907,           0.0084319,           0.0081077,           0.0089704,           0.0089704,           0.0089704
                  54,            0.060553,            0.015058,            0.016139,             0.70393,             0.84395,             0.85491,             0.28619,            0.061647,           0.0084144,           0.0085451,           0.0089506,           0.0089506,           0.0089506
                  55,            0.072566,             0.01195,            0.018061,             0.36852,             0.70833,             0.35016,            0.090157,            0.061121,           0.0075386,           0.0086888,           0.0089308,           0.0089308,           0.0089308
                  56,            0.063601,            0.014889,             0.01381,             0.36852,             0.70833,             0.35016,            0.090157,            0.061121,           0.0075386,           0.0086888,            0.008911,            0.008911,            0.008911
                  57,            0.059378,            0.015959,            0.017623,             0.30478,              0.6875,              0.3731,              0.1322,            0.055723,           0.0073559,            0.008911,           0.0088912,           0.0088912,           0.0088912
